"ï»¿""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9810,10690,10950,11800,12460,11850,12190,13220,13640,14030,14440,14430,14580,15670,16710,18260,21130,23500,23590,20760,19590,19290,20060,20490,
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16810,17100,17560,18720,19640,20310,21290,22130,23520,24480,25560,26660,27910,28940,30420,31360,32940,34950,35960,38800,37530,40030,41570,42450,
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19540,20570,21310,21760,22640,23570,24580,25470,26610,27500,29290,29470,31110,32100,33730,34580,37770,39100,41370,40670,42050,44440,45110,45450,
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,2720,2410,2430,2630,2900,3110,3340,3710,4120,4650,5100,6280,8570,10560,12310,13720,14600,14590,14870,16180,
Burundi,BDI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,710,720,680,650,600,550,550,580,570,580,580,590,570,590,610,640,670,690,690,710,730,750,770,
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19060,20050,20740,21150,22400,23310,23760,24840,25370,26460,28960,29680,31220,31520,32320,33310,35530,37020,38620,37680,39950,41440,41800,41240,
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,900,900,950,950,1000,1030,1080,1110,1150,1200,1270,1290,1320,1360,1400,1450,1520,1580,1580,1590,1640,1700,1780,
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,600,600,620,620,650,720,760,800,840,850,900,930,990,1030,1130,1200,1250,1310,1320,1440,1430,1480,1440,
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,850,900,940,990,1030,1080,1140,1180,1240,1320,1390,1470,1570,1680,1810,1980,2160,2340,2460,2600,2790,3010,3190,
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980,4640,4870,4950,5150,5360,5070,5240,6000,5770,6290,6990,7920,8530,9200,9980,10950,12020,13860,13930,14240,14590,15160,15210,
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19180,26670,27430,29580,29200,31240,32400,31870,33030,33160,34840,34520,33970,35230,36460,38190,38960,40190,39350,35380,36070,34890,35760,,
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,17120,16940,16820,17380,18290,20730,16780,18120,19250,20150,20740,21210,21030,21410,22250,23080,23540,23260,21830,21880,22270,22490,22700,
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,1120,2300,3160,4570,4760,4820,5020,5260,5520,5960,6420,7310,8030,8890,8820,8890,9320,9440,9660,
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230,5340,4920,4650,4190,3840,4030,4570,5030,5310,5760,6220,6690,7380,8510,9680,10990,12230,13730,13760,15060,16410,16810,16950,
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,3650,4070,4340,4340,4370,4390,4500,4550,4800,6180,6550,6720,7390,7920,6550,6880,6810,7000,7350,7250,7640,7790,7870,
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26520,26510,27090,28420,29000,30680,,,,,,,,,,,,75090,74770,69980,69270,66640,66430,,
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2450,2520,2620,2750,2870,3020,3140,3290,3260,3340,3410,3480,3530,3680,3920,4180,4400,4710,4790,4940,5200,5410,5750,
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,6520,6560,6880,7350,7730,7920,8170,8110,8040,8490,8610,8850,9040,9720,10240,10910,11810,12510,12500,13510,14030,14350,14750,
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240,8260,8050,8250,8720,8970,9250,10030,10530,10870,11310,11170,11340,11690,12220,12900,13770,14570,14640,14260,14650,14930,15090,,
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49870,51650,53800,53720,55070,57220,58450,57180,56150,57380,59030,60690,62660,64420,65210,66280,70010,71070,69740,68010,,,,,
Bhutan,BTN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1420,1490,1610,1800,1880,2030,2200,2140,2220,2850,3060,3290,3490,3690,4010,4360,5120,5300,5510,6030,6480,6700,6920,
Botswana,BWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090,5740,5940,6290,5740,6410,6440,7090,7460,7560,7650,8010,7610,8320,8560,9370,10400,11600,12300,11720,12560,13950,14820,15640,
Central African Republic,CAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,470,470,480,520,500,520,540,560,550,580,600,570,610,620,680,740,770,830,880,910,950,600,
Canada,CAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19150,19180,19530,20300,21500,22390,22990,24160,25210,26650,28240,29160,29850,31240,32900,35230,37260,38700,39500,38060,39200,40570,41170,42610,
Central Europe and the Baltics,CEB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6454.358603,6684.598657,7148.961017,7656.29679,8175.023817,8587.111741,8990.675873,9252.524832,9916.075226,10698.97846,11450.16895,12076.36925,12956.74087,13937.14993,15416.54604,16986.08553,18686.85688,18811.33478,19550.73228,20808.62714,21308.95978,22099.36184,
Switzerland,CHE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27320,27650,27880,28380,28880,29680,30530,32370,33610,34430,36830,36790,37390,38820,40140,42500,46710,47720,47200,51140,54430,54760,56120,59210,
Channel Islands,CHI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,4590,5290,5790,6140,6950,7600,8180,8540,8420,9320,9720,9940,10320,10880,11700,13400,14660,14950,14840,17010,19040,20140,21030,
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,1070,1240,1420,1630,1790,1990,2200,2360,2570,2830,3100,3430,3840,4330,4920,5710,6690,7470,8110,9000,9940,10920,11850,
Cote d'Ivoire,CIV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,1820,1810,1790,1850,1970,2130,2260,2340,2340,2250,2280,2250,2250,2330,2420,2490,2560,2640,2690,2730,2600,2880,3090,
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1620,1570,1440,1450,1500,1560,1620,1700,1750,1780,1840,1920,2030,2140,2190,2300,2360,2420,2460,2490,2580,2660,2770,
"Congo, Rep.",COG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2830,2930,3130,2850,2850,2000,2030,2500,2700,2390,2590,2670,2830,2910,2780,2940,3110,3180,3570,3690,4070,4140,4420,4600,
Colombia,COL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4760,4970,5250,5450,5870,6200,6300,6510,6530,6240,6520,6650,6800,7040,7500,7970,8640,9320,9680,9810,10150,10810,11360,11960,
Comoros,COM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,950,1040,1070,1000,1040,1020,1050,1040,1050,1070,1190,1200,1210,1240,1280,1320,1340,1350,1360,1380,1420,1460,1490,
Cabo Verde,CPV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1070,1190,1280,1510,1710,1890,2100,2330,2570,2910,3030,3140,3300,3680,3960,4350,5230,5640,5600,5620,5960,6090,6210,
Costa Rica,CRI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580,4730,5210,5590,5910,6080,6110,6380,6720,6590,6990,7360,7650,8000,8600,9360,10440,11010,11570,11110,11830,12510,13150,13570,
Caribbean small states,CSS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264.275017,5510.143616,5678.250496,6119.666564,6337.592235,6623.891233,6964.733456,7033.18054,7243.237711,7474.242627,7844.741792,8101.600333,8662.378779,9458.745476,10327.7051,10966.99612,12888.3818,13078.80848,13510.21833,12979.305,13157.84296,13000.12189,13332.27738,13649.52351,
Cuba,CUB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8570,7870,7090,6140,6280,6490,7120,7420,7500,8040,8660,9150,9370,9920,10740,12330,14280,15650,16630,17020,17660,18520,,,
Curacao,CUW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12520,12710,13790,13900,14680,15090,15470,15790,18220,17360,18180,19800,20670,21350,22210,23400,25080,26380,31190,30170,29990,30800,28850,27630,
Czech Republic,CZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11760,12120,12730,13690,14500,14720,14790,15120,16000,17170,17680,18930,20010,21280,22950,24950,25350,25210,25020,26270,26610,26740,
Germany,DEU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19380,20750,21430,21540,22300,23020,23620,24110,24690,25540,26440,27450,28060,29040,30870,32460,35340,37310,38850,38100,40390,43470,44310,45620,
Djibouti,DJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1950,1840,1800,1750,1670,1650,1630,1670,1690,1730,1780,1950,2080,2180,,,,,,,,,
Dominica,DMA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,4290,4490,4690,4750,4910,5030,5290,5700,5630,5660,6110,6020,6630,6910,7190,8100,8730,9620,9690,9970,10120,9970,10060,
Denmark,DNK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18280,19070,19910,20440,21980,23100,24170,25370,26350,27310,28980,29830,31230,31040,33270,34340,37660,38840,41290,40170,42500,43700,43890,44950,
Dominican Republic,DOM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270,3360,3720,3940,4070,4310,4650,5020,5340,5670,6040,6190,6550,6410,6460,7380,8340,9170,9640,9680,10520,10860,11190,11630,
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320,6200,6330,6270,6170,6340,6590,6720,7060,7240,7450,8030,8420,9100,9570,10270,10670,11430,11740,11790,12230,12490,12860,13070,
East Asia & Pacific (developing only),EAP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358.635289,1465.716068,1638.5025,1869.246637,2091.824112,2295.844084,2516.099508,2707.84235,2714.713588,2877.721086,3128.582279,3357.640877,3636.977216,4056.864988,4500.08873,5028.295902,5708.249204,6522.966371,7172.200924,7660.311338,8416.838052,9151.208757,9976.089085,10728.29984,
East Asia & Pacific (all income levels),EAS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123.905171,3334.682577,3554.772187,3830.37165,4111.764805,4390.176327,4691.307399,4952.700929,4919.322158,5137.513311,5514.687036,5794.345396,6144.577441,6601.512737,7168.459115,7773.134134,8571.345501,9512.96562,10138.66249,10468.36322,11359.36633,12138.65589,12980.1627,13780.08144,
Europe & Central Asia (developing only),ECA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5144.132383,4913.667469,4637.060414,4513.725101,4154.926079,4176.318395,4313.894621,4500.622117,5200.249261,5163.011593,5665.955985,5910.362115,6269.76595,6680.99151,7527.615675,8283.708005,9363.040044,10280.35759,11246.79928,11007.42321,11748.59277,12681.25595,13070.07374,13705.92345,
Europe & Central Asia (all income levels),ECS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11286.13475,11597.19566,11615.80292,11695.05832,11924.46811,12370.37398,12823.08621,13430.49656,14065.10135,14566.74733,15741.7572,16532.34129,17216.07005,17891.43131,19059.21983,20296.23552,22440.80919,23902.20086,25368.98787,24819.60752,25677.2747,27016.12192,27300.83614,28016.49786,
Ecuador,ECU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4490,4800,4970,5110,5350,5480,5550,5790,5890,5430,5450,5820,6100,6260,6800,7310,7760,8010,8670,8670,8990,9730,10260,10720,
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3960,4160,4300,4540,4800,5080,5390,5590,5900,6250,6520,6610,6820,7170,7600,8300,9000,9660,9950,10200,10360,10610,10790,
Euro area,EMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17007.97635,17924.67726,18472.03428,18713.91779,19447.29442,20307.58969,21007.18619,21899.33236,22852.69167,23755.76297,25224.94772,26396.96882,27149.61688,27650.49732,28868.90609,30187.33225,32762.39752,34537.1867,35801.20208,35187.85356,36126.04817,37620.35223,37633.59283,38316.55762,
Eritrea,ERI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,820,1010,1060,1130,1220,1230,1210,1150,1220,1220,1150,1150,1180,1160,1170,1040,1050,1050,1130,1190,1180,
Spain,ESP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13580,14360,14760,14970,15400,16330,17020,18030,19240,20200,21810,22980,24390,25100,26180,27470,30360,31980,32820,32330,31900,32050,32030,32700,
Estonia,EST,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9390,10120,11330,12560,13930,15830,18140,20150,21020,19420,19740,22050,22960,24570,
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,390,350,390,400,420,470,470,450,470,490,530,530,510,580,650,730,810,890,950,1060,1170,1260,1380,
European Union,EUU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14778.69851,15446.05282,15908.01736,16230.8518,17018.57666,17835.47343,18586.17646,19475.16652,20341.38373,21066.5461,22531.93862,23662.43175,24539.60634,25187.96537,26470.23497,27756.65636,30078.73866,31703.02233,32943.71388,32369.76314,33192.6298,34564.87835,34644.22583,35461.29741,
Fragile and conflict affected situations,FCS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521.574245,2710.540358,2925.322536,3078.127768,3215.334492,3284.875039,3367.266362,3455.594495,3626.651261,3689.80721,
Finland,FIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,16850,16350,16410,17510,18710,19380,21280,22840,24260,26330,27530,28510,28610,31280,32190,34850,37570,39770,38160,38810,40450,39930,39930,
Fiji,FJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550,3560,3800,3920,4090,4340,4610,4520,4510,4940,5210,5260,5600,5710,6170,6470,6400,6570,6680,6710,6740,7000,7160,7590,
France,FRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17670,18380,19050,19300,20020,20770,21500,22530,23660,24750,26480,27930,28790,28410,29440,30910,32950,34720,35890,35570,36610,38170,37690,38530,
Faeroe Islands,FRO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,2380,2440,2390,2400,2340,2400,2580,2680,2730,2840,2860,3040,3140,3200,3160,3330,3390,3540,3670,3680,
Gabon,GAB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11110,11870,11100,11310,12020,12340,12690,13290,13870,12390,11700,12210,12590,12560,12070,13370,13130,14110,14350,14240,14480,15410,16500,17230,
United Kingdom,GBR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16470,16770,17450,18400,19830,20800,22090,23730,24800,25100,27520,28960,30440,31650,33640,35320,37230,37740,37820,36480,36320,37050,36830,38160,
Georgia,GEO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5190,4200,2330,1660,1530,1600,1900,2310,2470,2600,2690,2830,3030,3450,3810,4240,4790,5450,5610,5420,5710,6140,6760,7040,
Ghana,GHA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1270,1320,1370,1400,1460,1510,1570,1620,1680,1720,1800,1870,1950,2060,2220,2380,2540,2740,2800,2950,3340,3540,3900,
Guinea,GIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,690,700,720,730,750,770,800,820,860,880,910,980,930,960,980,980,1030,1040,1030,1060,1100,1140,1160,
"Gambia, The",GMB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,980,1010,1030,1030,1040,1050,1080,1090,1140,1190,1240,1170,1230,1350,1330,1340,1390,1460,1510,1580,1490,1560,1610,
Guinea-Bissau,GNB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,1000,1020,1040,1070,1110,1230,1330,930,940,1020,1030,1040,1040,1080,1130,1180,1230,1250,1280,1340,1460,1410,1410,
Equatorial Guinea,GNQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,740,1000,1080,1040,1100,1740,4660,5050,6670,6030,6080,8080,7460,9260,16380,28400,28720,25870,33680,28070,27660,24660,23270,
Greece,GRC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13560,14370,14680,14610,15090,15620,16110,17030,17520,17830,19210,20860,22510,23480,24850,25160,27470,28220,29900,29830,28310,26220,25750,25700,
Grenada,GRD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580,4950,5030,4900,5110,5220,5490,5790,6150,6850,7150,7040,7310,8160,8090,10160,10020,10730,11040,10020,10390,10760,10770,11230,
Greenland,GRL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370,3560,3730,3880,4020,4210,4300,4470,4660,4780,4950,5090,5190,5290,5450,5660,5970,6350,6520,6410,6510,6720,6930,7130,
Guam,GUM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1630,1930,2370,2760,3020,3340,3500,3480,3680,3730,3830,3950,4010,3910,4310,4310,4750,4960,5130,5460,5790,6210,6610,
