Indicator,Country,Time,Value
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,1999,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2000,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2001,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2002,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2003,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2004,46.82
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2005,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2006,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2007,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2008,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2009,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2010,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2011,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2012,51.90
"Adult literacy rate, population 15+ years, female (%)",South and West Asia,2015,59.80
"Adult literacy rate, population 15+ years, male (%)",Turkey,2004,95.27
"Adult literacy rate, population 15+ years, male (%)",Turkey,2005,96.00
"Adult literacy rate, population 15+ years, male (%)",Turkey,2006,96.00
"Adult literacy rate, population 15+ years, male (%)",Turkey,2007,96.20
"Adult literacy rate, population 15+ years, male (%)",Turkey,2009,96.38
"Adult literacy rate, population 15+ years, male (%)",Turkey,2010,97.30
"Adult literacy rate, population 15+ years, male (%)",Turkey,2011,97.93
"Adult literacy rate, population 15+ years, male (%)",Turkey,2012,98.26
"Adult literacy rate, population 15+ years, male (%)",Turkey,2015,98.39
"Adult literacy rate, population 15+ years, both sexes (%)",Egypt,2005,71.41
"Adult literacy rate, population 15+ years, both sexes (%)",Egypt,2006,66.37
"Adult literacy rate, population 15+ years, both sexes (%)",Egypt,2010,72.05
"Adult literacy rate, population 15+ years, both sexes (%)",Egypt,2012,73.87
"Adult literacy rate, population 15+ years, both sexes (%)",Egypt,2015,73.75
"Elderly literacy rate, population 65+ years, both sexes (%)",Guinea,2003,10.81
"Elderly literacy rate, population 65+ years, both sexes (%)",Guinea,2010,8.55
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Chile,2002,1.00
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Chile,2008,1.00
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Chile,2009,1.00
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Chile,2015,1.00
"Adult literacy rate, population 15+ years, both sexes (%)",Puerto Rico,2004,90.53
"Adult literacy rate, population 15+ years, both sexes (%)",Puerto Rico,2010,91.97
"Adult literacy rate, population 15+ years, both sexes (%)",Puerto Rico,2015,93.33
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2000,96.61
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2002,97.60
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2004,97.56
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2005,97.64
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2006,97.90
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2007,98.16
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2008,98.38
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2009,98.52
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2010,98.43
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2011,98.46
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2012,98.88
"Youth literacy rate, population 15-24 years, both sexes (%)",Mexico,2015,99.04
"Youth literacy rate, population 15-24 years, female (%)",World,1999,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2000,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2001,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2002,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2003,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2004,84.05
"Youth literacy rate, population 15-24 years, female (%)",World,2005,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2006,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2007,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2008,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2009,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2010,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2011,86.93
"Youth literacy rate, population 15-24 years, female (%)",World,2012,86.93
"Youth literacy rate, population 15-24 years, male (%)",Mauritius,2000,93.72
"Youth literacy rate, population 15-24 years, male (%)",Mauritius,2011,97.69
"Youth literacy rate, population 15-24 years, male (%)",Mauritius,2015,98.36
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,1999,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2000,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2001,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2002,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2003,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2004,85.86
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2005,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2006,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2007,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2008,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2009,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2010,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2011,88.33
"Adult literacy rate, population 15+ years, male (%)",Middle income countries,2012,88.33
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,1999,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2000,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2001,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2002,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2003,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2004,72.24
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2005,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2006,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2007,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2008,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2009,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2010,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2011,81.47
"Adult literacy rate, population 15+ years, male (%)",Northern Africa,2012,81.47
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,1999,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2000,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2001,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2002,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2003,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2004,99.77
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2005,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2006,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2007,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2008,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2009,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2010,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2011,99.83
"Youth literacy rate, population 15-24 years, both sexes (%)",Central Asia,2012,99.83
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Togo,2000,0.56
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Togo,2006,0.63
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Togo,2009,0.61
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Togo,2011,0.65
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Togo,2015,0.71
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,1999,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2000,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2001,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2002,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2003,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2004,67.55
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2005,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2006,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2007,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2008,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2009,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2010,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2011,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2012,67.51
"Adult literacy rate, population 15+ years, male (%)",Sub-Saharan Africa,2015,70.80
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,1999,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2000,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2001,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2002,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2003,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2004,99.14
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2005,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2006,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2007,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2008,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2009,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2010,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2011,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2012,99.54
"Adult literacy rate, population 15+ years, both sexes (%)",Countries in transition,2015,99.60
"Adult literacy rate, population 15+ years, male (%)",Guadeloupe,2004,94.39
"Adult literacy rate, population 15+ years, male (%)",Guadeloupe,2012,95.89
"Adult literacy rate, population 15+ years, male (%)",Guadeloupe,2015,96.38
"Youth literacy rate, population 15-24 years, male (%)",Venezuela (Bolivarian Republic of),2001,96.33
"Youth literacy rate, population 15-24 years, male (%)",Venezuela (Bolivarian Republic of),2007,97.97
"Youth literacy rate, population 15-24 years, male (%)",Venezuela (Bolivarian Republic of),2009,98.27
"Youth literacy rate, population 15-24 years, male (%)",Venezuela (Bolivarian Republic of),2015,98.76
"Adult literacy rate, population 15+ years, male (%)",Ethiopia,2004,50.00
"Adult literacy rate, population 15+ years, male (%)",Ethiopia,2005,41.94
"Adult literacy rate, population 15+ years, male (%)",Ethiopia,2007,49.13
"Adult literacy rate, population 15+ years, male (%)",Ethiopia,2015,57.21
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,1999,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2000,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2001,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2002,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2003,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2004,99.66
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2005,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2006,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2007,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2008,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2009,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2010,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2011,99.73
"Youth literacy rate, population 15-24 years, both sexes (%)",Europe,2012,99.73
"Youth literacy rate, population 15-24 years, male (%)",World,1999,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2000,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2001,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2002,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2003,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2004,90.52
"Youth literacy rate, population 15-24 years, male (%)",World,2005,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2006,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2007,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2008,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2009,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2010,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2011,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2012,92.08
"Youth literacy rate, population 15-24 years, male (%)",World,2015,92.80
"Adult literacy rate, population 15+ years, female (%)",World,1999,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2000,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2001,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2002,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2003,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2004,77.03
"Adult literacy rate, population 15+ years, female (%)",World,2005,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2006,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2007,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2008,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2009,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2010,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2011,80.22
"Adult literacy rate, population 15+ years, female (%)",World,2012,80.22
"Youth literacy rate, population 15-24 years, both sexes (%)",Botswana,2003,93.96
"Youth literacy rate, population 15-24 years, both sexes (%)",Botswana,2012,96.04
"Youth literacy rate, population 15-24 years, both sexes (%)",Botswana,2015,97.85
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,1999,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2000,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2001,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2002,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2003,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2004,65.69
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2005,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2006,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2007,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2008,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2009,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2010,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2011,74.43
"Youth literacy rate, population 15-24 years, female (%)",South and West Asia,2012,74.43
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,1999,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2000,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2001,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2002,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2003,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2004,88.07
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2005,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2006,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2007,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2008,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2009,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2010,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2011,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2012,92.82
"Adult literacy rate, population 15+ years, female (%)",East Asia and the Pacific,2015,94.20
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,1999,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2000,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2001,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2002,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2003,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2004,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2005,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2006,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2007,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2008,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2009,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2010,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2011,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2012,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2002,77.00
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2005,82.44
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2006,82.33
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2008,85.02
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2012,84.28
"Adult literacy rate, population 15+ years, both sexes (%)",Iran (Islamic Republic of),2015,86.85
"Adult literacy rate, population 15+ years, male (%)",Myanmar,2000,93.92
"Adult literacy rate, population 15+ years, male (%)",Myanmar,2012,94.98
"Adult literacy rate, population 15+ years, male (%)",Myanmar,2015,95.17
"Youth literacy rate, population 15-24 years, male (%)",Syrian Arab Republic,2002,97.14
"Youth literacy rate, population 15-24 years, male (%)",Syrian Arab Republic,2004,94.61
"Youth literacy rate, population 15-24 years, male (%)",Syrian Arab Republic,2012,96.58
"Youth literacy rate, population 15-24 years, male (%)",Syrian Arab Republic,2015,97.11
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,1999,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2000,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2001,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2002,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2003,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2004,97.29
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2005,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2006,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2007,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2008,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2009,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2010,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2011,98.65
"Youth literacy rate, population 15-24 years, both sexes (%)",South America,2012,98.65
"Youth literacy rate, population 15-24 years, female (%)",Spain,2005,99.50
"Youth literacy rate, population 15-24 years, female (%)",Spain,2007,99.56
"Youth literacy rate, population 15-24 years, female (%)",Spain,2008,99.60
"Youth literacy rate, population 15-24 years, female (%)",Spain,2009,99.56
"Youth literacy rate, population 15-24 years, female (%)",Spain,2010,99.69
"Youth literacy rate, population 15-24 years, female (%)",Spain,2011,99.75
"Youth literacy rate, population 15-24 years, female (%)",Spain,2012,99.71
"Youth literacy rate, population 15-24 years, female (%)",Spain,2015,99.77
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,1999,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2000,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2001,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2002,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2003,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2004,95.95
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2005,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2006,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2007,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2008,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2009,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2010,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2011,97.63
"Youth literacy rate, population 15-24 years, male (%)",Latin America & the Caribbean,2012,97.63
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,1999,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2000,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2001,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2002,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2003,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2004,79.43
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2005,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2006,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2007,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2008,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2009,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2010,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2011,82.93
"Adult literacy rate, population 15+ years, both sexes (%)",Asia,2012,82.93
"Adult literacy rate, population 15+ years, female (%)",Thailand,2000,90.52
"Adult literacy rate, population 15+ years, female (%)",Thailand,2005,91.53
"Adult literacy rate, population 15+ years, female (%)",Thailand,2010,96.43
"Adult literacy rate, population 15+ years, female (%)",Thailand,2015,96.68
"Youth literacy rate, population 15-24 years, both sexes (%)",World,1999,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2000,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2001,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2002,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2003,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2004,87.31
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2005,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2006,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2007,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2008,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2009,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2010,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2011,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2012,89.42
"Youth literacy rate, population 15-24 years, both sexes (%)",World,2015,91.30
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,1999,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2000,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2001,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2002,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2003,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2004,99.46
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2005,99.73
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2006,99.73
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2007,99.73
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2008,99.73
"Adult literacy rate, population 15+ years, male (%)",Caucasus and Central Asia,2009,99.73
